"set_id","family","comparison","direction","plot_label","n_genes","source_file"
"infection_diet33_up","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infection_diet33_down","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",396,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infection_diet50_up","Infected within diet","Diet 50 infected vs control","Upregulated","Diet 50",742,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infection_diet50_down","Infected within diet","Diet 50 infected vs control","Downregulated","Diet 50",374,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infection_diet83_up","Infected within diet","Diet 83 infected vs control","Upregulated","Diet 83",499,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infection_diet83_down","Infected within diet","Diet 83 infected vs control","Downregulated","Diet 83",269,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"control_diet33_vs_50_up","Control animals only","Control diet 33 vs 50","Upregulated","33 vs 50",2,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"control_diet33_vs_50_down","Control animals only","Control diet 33 vs 50","Downregulated","33 vs 50",0,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"control_diet83_vs_33_up","Control animals only","Control diet 83 vs 33","Upregulated","83 vs 33",25,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"control_diet83_vs_33_down","Control animals only","Control diet 83 vs 33","Downregulated","83 vs 33",22,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"control_diet83_vs_50_up","Control animals only","Control diet 83 vs 50","Upregulated","83 vs 50",18,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"control_diet83_vs_50_down","Control animals only","Control diet 83 vs 50","Downregulated","83 vs 50",5,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infected_diet33_vs_50_up","Infected animals only","Infected diet 33 vs 50","Upregulated","33 vs 50",5,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infected_diet33_vs_50_down","Infected animals only","Infected diet 33 vs 50","Downregulated","33 vs 50",99,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infected_diet83_vs_33_up","Infected animals only","Infected diet 83 vs 33","Upregulated","83 vs 33",23,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infected_diet83_vs_33_down","Infected animals only","Infected diet 83 vs 33","Downregulated","83 vs 33",16,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infected_diet83_vs_50_up","Infected animals only","Infected diet 83 vs 50","Upregulated","83 vs 50",11,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
"infected_diet83_vs_50_down","Infected animals only","Infected diet 83 vs 50","Downregulated","83 vs 50",4,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv"
