"gene_id","tissue_reference_deg","phase_reference_deg","diet_control_deg","fatbody_infection_deg","membership_label","diet_infected_deg","head_phase_deg","thorax_phase_deg","phase_reference_source","fatbody_experiment_deg","n_tissue_contrasts","tissue_comparisons","tissue_directions","tissue_max_abs_log2FC","tissue_min_padj","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj","head_log2FC","head_padj","head_direction","thorax_log2FC","thorax_padj","thorax_direction","Preferred_name","Description","combined_priority_score","any_phase_change","fatbody_diet_deg","has_tissue_overlay","has_phase_overlay","primary_annotation_group","logical_category","heatmap_category","gene_label"
"LOC126280541",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",12.6749674229601,6.35998270802109e-312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","no description",344.327622991549,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126280541 | unannotated | no description"
"LOC126297845",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",5.53481130269027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","transferase activity, transferring acyl groups other than amino-acyl groups",337.187466871279,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126297845 | unannotated | transferase activity, transferring ..."
"LOC126267772",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",8.7963665767888,1.37753016038851e-308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Laminin-type epidermal growth factor-like domai",332.449022145378,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126267772 | unannotated | Laminin-type epidermal growth facto..."
"LOC126355891",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",9.45638656753656,3.04551319598159e-287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TpnCIIIa","troponin C",311.972726081929,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126355891 | TpnCIIIa | troponin C"
"LOC126365782",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",4.74011575608197,1.62996073834771e-258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Repeat of unknown function (DUF1136)",278.527938612613,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126365782 | unannotated | Repeat of unknown function (DUF1136)"
"LOC126277939",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",6.60904937449598,5.2795405414727e-255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bli-4","Proprotein convertase P-domain",276.886453245331,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126277939 | bli-4 | Proprotein convertase P-domain"
"LOC126327025",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",14.5789732351198,6.76958714544473e-226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","no description",263.7484110518,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126327025 | unannotated | no description"
"LOC126291976",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",12.7134736696591,4.0912271016548e-214,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.41901794729199,0.00912235093730016,NA,NA,NA,NA,NA,NA,"unannotated","Glycosyl hydrolase family 9",263.560531253791,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126291976 | unannotated | Glycosyl hydrolase family 9"
"LOC126284258",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",7.48289699638891,5.80002647226119e-231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vg","It is involved in the biological process described with regulation of transcription, DNA-templated",261.719467020631,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126284258 | vg | It is involved in the biological pr..."
"LOC126335019",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",5.48321244942096,1.2770075769955e-236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RyR","Ryanodine Receptor TM 4-6",257.377018975307,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126335019 | RyR | Ryanodine Receptor TM 4-6"
"LOC126266884",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Head",5.11290922741317,4.18762670720962e-224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"croc","FORKHEAD",252.490941266494,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126266884 | croc | FORKHEAD"
